,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
0,31004,1886,1804,VALLE,11192,41,ALCALA,69,3800,3690
1,31007,3219,3505,VALLE,19548,40,ANDALUCIA,101,6865,6724
2,31010,3609,1667,VALLE,19269,49,ANSERMANUEVO,80,5405,5276
3,31013,983,923,VALLE,6426,19,ARGELIA,30,1955,1906
4,31016,2759,2065,VALLE,13389,65,BOLIVAR,75,4964,4824
5,31019,17670,42565,VALLE,219150,629,BUENAVENTURA,1525,62389,60235
6,31022,20572,20956,VALLE,100078,202,BUGA,551,42281,41528
7,31025,2934,3977,VALLE,19020,54,BUGALAGRANDE,136,7101,6911
8,31028,6106,3886,VALLE,28321,143,CAICEDONIA,186,10321,9992
9,31001,269502,319949,VALLE,1637938,2298,CALI,4496,596245,589451
10,31031,12525,10898,VALLE,68548,136,CANDELARIA,440,23999,23423
11,31034,24101,14845,VALLE,111785,222,CARTAGO,554,39722,38946
12,31037,5858,4666,VALLE,35005,80,DAGUA,150,10754,10524
13,31055,7906,10354,VALLE,50135,219,FLORIDA,347,18826,18260
14,31058,3263,3182,VALLE,16309,75,GINEBRA,99,6619,6445
15,31061,4555,5786,VALLE,27420,61,GUACARI,184,10586,10341
16,31064,15665,18060,VALLE,96350,161,JAMUNDI,518,34404,33725
17,31076,1970,1579,VALLE,11185,27,OBANDO,81,3657,3549
18,31079,45431,54278,VALLE,261731,509,PALMIRA,1162,101380,99709
19,31082,7263,7574,VALLE,39766,120,PRADERA,258,15215,14837
20,31085,2574,1777,VALLE,14911,38,RESTREPO,58,4447,4351
21,31088,3065,2103,VALLE,15859,44,RIOFRIO,98,5310,5168
22,31091,6372,4631,VALLE,28313,56,ROLDANILLO,115,11174,11003
23,31097,6231,6589,VALLE,37835,157,SEVILLA,335,13312,12820
24,31100,2422,1383,VALLE,12667,44,TORO,77,3926,3805
25,31103,3296,1960,VALLE,15793,60,TRUJILLO,85,5401,5256
26,31106,32877,27738,VALLE,157134,436,TULUA,1001,62052,60615
27,31109,712,909,VALLE,4636,25,ULLOA,28,1674,1621
28,31112,1650,963,VALLE,7989,35,VERSALLES,38,2686,2613
29,31115,1554,1812,VALLE,10404,36,VIJES,35,3437,3366
30,31118,2608,2358,VALLE,14310,33,YOTOCO,61,5060,4966
31,31121,16252,18095,VALLE,96839,171,YUMBO,470,34988,34347
32,31124,6580,6632,VALLE,36664,67,ZARZAL,263,13542,13212
33,88120,75,488,CONSULADOS,2942,0,ALEMANIA,1,564,563
34,88155,226,1166,CONSULADOS,6040,2,ARGENTINA,2,1396,1392
35,88160,426,228,CONSULADOS,3024,1,ARUBA,1,656,654
36,88165,280,695,CONSULADOS,3843,0,AUSTRALIA,0,975,975
37,88170,29,139,CONSULADOS,518,0,AUSTRIA,0,168,168
38,88190,71,314,CONSULADOS,1487,1,BELGICA,0,386,385
39,88215,60,67,CONSULADOS,726,0,BOLIVIA,0,127,127
40,88220,86,388,CONSULADOS,2029,0,BRASIL,2,476,474
41,88250,1559,2717,CONSULADOS,17355,1,CANADA,6,4283,4276
42,88305,421,879,CONSULADOS,5228,1,CHILE,1,1302,1300
43,88320,10,13,CONSULADOS,41,0,CHIPRE,1,24,23
44,88290,1,16,CONSULADOS,188,0,CUBA,0,17,17
45,88140,142,89,CONSULADOS,1321,0,CURAZAO,2,233,231
46,88325,1,28,CONSULADOS,57,0,DINAMARCA,0,29,29
47,88330,991,1686,CONSULADOS,23212,10,ECUADOR,13,2700,2677
48,88335,2,14,CONSULADOS,144,0,EGIPTO,0,16,16
49,88355,2235,4891,CONSULADOS,85658,8,ESPAÑA,4,7138,7126
50,88370,4,12,CONSULADOS,66,0,FILIPINAS,0,16,16
51,88375,6,33,CONSULADOS,70,0,FINLANDIA,0,39,39
52,88380,317,1498,CONSULADOS,7110,1,FRANCIA,0,1816,1815
53,88115,0,5,CONSULADOS,17,0,GHANA,0,5,5
54,88405,4,19,CONSULADOS,47,0,GRECIA,0,23,23
55,88410,106,109,CONSULADOS,724,0,GUATEMALA,0,215,215
56,88435,68,233,CONSULADOS,1693,0,HOLANDA,0,301,301
57,88440,27,34,CONSULADOS,441,0,HONDURAS,0,61,61
58,88455,0,14,CONSULADOS,79,0,INDIA,0,14,14
59,88460,9,47,CONSULADOS,190,0,INDONESIA,0,56,56
60,88465,532,1159,CONSULADOS,9177,1,INGLATERRA,2,1694,1691
61,88470,16,33,CONSULADOS,91,0,IRLANDA,0,49,49
62,88490,22,39,CONSULADOS,774,0,ISRAEL,1,62,61
63,88495,107,321,CONSULADOS,5241,1,ITALIA,2,431,428
64,88500,18,14,CONSULADOS,256,0,JAMAICA,0,32,32
65,88505,33,79,CONSULADOS,799,0,JAPON,0,112,112
66,88515,2,13,CONSULADOS,57,0,KENIA,0,15,15
67,88535,12,34,CONSULADOS,739,0,LIBANO,0,46,46
68,88560,7,13,CONSULADOS,105,0,MALASIA,0,20,20
69,88580,0,6,CONSULADOS,16,0,MARRUECOS,0,6,6
70,88590,337,742,CONSULADOS,4304,0,MEXICO,0,1079,1079
71,88620,13,48,CONSULADOS,226,0,NICARAGUA,0,61,61
72,88635,1,26,CONSULADOS,108,0,NORUEGA,0,27,27
73,88655,783,704,CONSULADOS,11757,1,PANAMA,3,1491,1487
74,88665,36,34,CONSULADOS,261,0,PARAGUAY,0,70,70
75,88670,239,449,CONSULADOS,2755,0,PERU,1,689,688
76,88675,5,21,CONSULADOS,114,0,POLONIA,0,26,26
77,88680,15,58,CONSULADOS,353,0,PORTUGAL,0,73,73
78,88700,3,31,CONSULADOS,304,0,RUSIA,0,34,34
79,88745,21,41,CONSULADOS,184,0,SUDAFRICA,1,63,62
80,88755,57,216,CONSULADOS,1267,0,SUECIA,0,273,273
81,88760,142,514,CONSULADOS,2724,0,SUIZA,0,656,656
82,88765,2,13,CONSULADOS,52,0,TAILANDIA,0,15,15
83,88770,6,20,CONSULADOS,70,0,TURQUIA,0,26,26
84,88805,23,76,CONSULADOS,391,0,URUGUAY,1,100,99
85,88815,5539,9903,CONSULADOS,188352,45,VENEZUELA,76,15563,15442
86,54003,417,1079,GUAVIARE,5482,17,CALAMAR,24,1537,1496
87,54012,142,848,GUAVIARE,4217,12,MIRAFLORES,11,1013,990
88,72006,952,2717,VICHADA,19420,42,CUMARIBO,52,3763,3669
89,44002,842,445,CAQUETA,3923,121,ALBANIA,22,1430,1287
90,44012,1052,729,CAQUETA,7604,35,CURILLO,55,1871,1781
91,44001,23593,14803,CAQUETA,115892,187,FLORENCIA,421,39004,38396
92,44016,590,750,CAQUETA,6861,9,MILAN,20,1369,1340
93,44017,731,387,CAQUETA,3584,9,MORELIA,16,1143,1118
94,44022,460,1506,CAQUETA,7754,18,SOLANO,20,2004,1966
95,44024,804,484,CAQUETA,5746,18,SOLITA,26,1332,1288
96,44040,805,724,CAQUETA,6188,22,VALPARAISO,60,1611,1529
97,05004,1874,4307,BOLIVAR,15748,61,ACHI,87,6329,6181
98,05005,229,1690,BOLIVAR,5625,8,ARENAL,23,1950,1919
99,05007,3642,6030,BOLIVAR,51077,50,ARJONA,63,9785,9672
100,05013,1490,2140,BOLIVAR,17670,48,CALAMAR,37,3715,3630
101,05014,732,1878,BOLIVAR,6076,17,CANTAGALLO,44,2671,2610
102,05001,64735,81500,BOLIVAR,732774,688,CARTAGENA,518,147441,146235
103,05015,856,2082,BOLIVAR,9346,29,CICUCO,21,2988,2938
104,05018,590,1146,BOLIVAR,10304,19,CLEMENCIA,17,1772,1736
105,05016,1001,3612,BOLIVAR,13053,66,CORDOBA,43,4722,4613
106,05028,9966,16478,BOLIVAR,93554,206,MAGANGUE,261,26911,26444
107,05031,1222,2819,BOLIVAR,19421,48,MAHATES,32,4121,4041
108,05037,919,1361,BOLIVAR,8814,33,MARGARITA,13,2326,2280
109,05043,3036,5198,BOLIVAR,34934,59,MOMPOS,68,8361,8234
110,05041,395,1652,BOLIVAR,8357,35,MONTECRISTO,17,2099,2047
111,05044,2206,1936,BOLIVAR,10842,34,MORALES,39,4215,4142
112,05050,177,969,BOLIVAR,3698,9,NOROSI,14,1169,1146
113,05059,1885,2973,BOLIVAR,16205,49,PINILLOS,41,4948,4858
114,05063,323,1092,BOLIVAR,4492,4,REGIDOR,18,1437,1415
115,05065,639,1488,BOLIVAR,5875,20,RIOVIEJO,30,2177,2127
116,05097,1783,1753,BOLIVAR,11953,43,SIMITI,73,3652,3536
117,05106,324,1888,BOLIVAR,7990,10,SOPLAVIENTO,20,2242,2212
118,05118,3957,5927,BOLIVAR,58808,29,TURBACO,41,9954,9884
119,05121,781,1728,BOLIVAR,13769,17,TURBANA,17,2543,2509
120,05124,763,1181,BOLIVAR,15014,16,VILLANUEVA,14,1974,1944
121,05127,507,3140,BOLIVAR,8695,34,ZAMBRANO,46,3727,3647
122,50073,7,17,GUAINIA,338,0,CACAHUAL,1,25,24
123,50001,2436,2663,GUAINIA,19789,45,INIRIDA,50,5194,5099
124,50050,4,45,GUAINIA,579,0,MAPIRIPANA,0,49,49
125,60001,4463,4403,AMAZONAS,34592,40,LETICIA,84,8990,8866
126,60022,68,265,AMAZONAS,1304,7,TARAPACA,4,344,333
127,26001,59049,43835,QUINDIO,247873,913,ARMENIA,1205,105002,102884
128,26005,564,441,QUINDIO,2857,6,BUENAVISTA,17,1028,1005
129,26010,14557,8767,QUINDIO,58297,262,CALARCA,377,23963,23324
130,26020,5837,3343,QUINDIO,21943,53,CIRCASIA,131,9364,9180
131,26025,1028,872,QUINDIO,5090,25,CORDOBA,35,1960,1900
132,26030,2627,1522,QUINDIO,10343,39,FILANDIA,68,4256,4149
133,26040,1739,987,QUINDIO,7384,29,GENOVA,55,2810,2726
134,26060,8140,3398,QUINDIO,33103,108,MONTENEGRO,227,11873,11538
135,26070,1523,815,QUINDIO,6022,13,PIJAO,34,2385,2338
136,26080,7156,4528,QUINDIO,29792,211,QUIMBAYA,154,12049,11684
137,26090,1666,853,QUINDIO,5762,27,SALENTO,32,2578,2519
138,03004,3416,8936,ATLANTICO,45824,139,BARANOA,58,12549,12352
139,03001,108178,146039,ATLANTICO,1029268,1047,BARRANQUILLA,1111,256375,254217
140,03010,906,2078,ATLANTICO,11294,25,CANDELARIA,25,3034,2984
141,03013,3176,5186,ATLANTICO,34607,28,GALAPA,74,8464,8362
142,03019,1246,2265,ATLANTICO,23080,28,LURUACO,25,3564,3511
143,03022,6908,8810,ATLANTICO,74964,45,MALAMBO,94,15857,15718
144,03025,317,1660,ATLANTICO,13416,8,MANATI,10,1995,1977
145,03031,391,1118,ATLANTICO,5409,13,PIOJO,15,1537,1509
146,03034,639,2746,ATLANTICO,12246,23,POLONUEVO,29,3437,3385
147,03035,1421,2445,ATLANTICO,17776,23,PONEDERA,20,3909,3866
148,03040,829,3325,ATLANTICO,18423,35,REPELON,24,4213,4154
149,03043,1835,3251,ATLANTICO,22784,17,SABANAGRANDE,29,5132,5086
150,03046,4663,12851,ATLANTICO,64908,421,SABANALARGA,142,18077,17514
151,03052,23487,33765,ATLANTICO,264289,226,SOLEDAD,307,57785,57252
152,03055,585,1837,ATLANTICO,9555,3,SUAN,3,2428,2422
153,03058,898,1888,ATLANTICO,9481,17,TUBARA,16,2819,2786
154,03061,489,1677,ATLANTICO,7497,14,USIACURI,15,2195,2166
155,25004,4149,2095,NORTE DE SANTANDER,21133,56,ABREGO,77,6377,6244
156,25007,2078,907,NORTE DE SANTANDER,6826,53,ARBOLEDAS,58,3096,2985
157,25010,1786,1080,NORTE DE SANTANDER,6046,25,BOCHALEMA,50,2941,2866
158,25013,985,413,NORTE DE SANTANDER,4108,30,BUCARASICA,70,1498,1398
159,25019,2060,531,NORTE DE SANTANDER,6959,15,CACHIRA,28,2634,2591
160,25016,432,413,NORTE DE SANTANDER,2156,4,CACOTA,24,873,845
161,25028,3351,1983,NORTE DE SANTANDER,11426,29,CHINACOTA,90,5453,5334
162,25031,1729,1056,NORTE DE SANTANDER,7562,45,CHITAGA,78,2908,2785
163,25022,1411,2101,NORTE DE SANTANDER,14827,83,CONVENCION,137,3732,3512
164,25001,157742,83572,NORTE DE SANTANDER,542712,1325,CUCUTA,3088,245727,241314
165,25025,1850,938,NORTE DE SANTANDER,6168,79,CUCUTILLA,72,2939,2788
166,25034,885,1003,NORTE DE SANTANDER,4279,13,DURANIA,32,1933,1888
167,25040,1253,632,NORTE DE SANTANDER,4850,23,GRAMALOTE,38,1946,1885
168,25043,184,1562,NORTE DE SANTANDER,6906,34,HACARI,59,1839,1746
169,25046,769,377,NORTE DE SANTANDER,3574,18,HERRAN,28,1192,1146
170,25049,782,877,NORTE DE SANTANDER,4905,18,LABATECA,32,1709,1659
171,25055,904,317,NORTE DE SANTANDER,3214,25,LOURDES,53,1299,1221
172,25058,605,499,NORTE DE SANTANDER,2664,9,MUTISCUA,21,1134,1104
173,25061,16720,10753,NORTE DE SANTANDER,76057,126,OCAÑA,378,27977,27473
174,25064,12079,6506,NORTE DE SANTANDER,43064,85,PAMPLONA,293,18963,18585
175,25067,1178,577,NORTE DE SANTANDER,3796,41,PAMPLONITA,46,1842,1755
176,25070,1266,422,NORTE DE SANTANDER,6440,17,RAGONVALIA,23,1728,1688
177,25073,2029,974,NORTE DE SANTANDER,7487,47,SALAZAR,106,3156,3003
178,25082,779,642,NORTE DE SANTANDER,3311,8,SANTIAGO,30,1459,1421
179,25085,3725,1991,NORTE DE SANTANDER,17063,78,SARDINATA,119,5913,5716
180,25088,1100,259,NORTE DE SANTANDER,3968,15,SILOS,18,1392,1359
181,25091,380,2429,NORTE DE SANTANDER,9725,45,TEORAMA,99,2953,2809
182,25093,3008,5847,NORTE DE SANTANDER,31208,99,TIBU,228,9182,8855
183,25094,2803,1311,NORTE DE SANTANDER,12026,61,TOLEDO,135,4310,4114
184,13004,2882,4178,CORDOBA,32199,76,AYAPEL,81,7217,7060
185,13007,1541,4048,CORDOBA,17581,46,BUENAVISTA,61,5696,5589
186,13009,777,2640,CORDOBA,16098,31,CANALETE,20,3468,3417
187,13010,11179,11746,CORDOBA,71178,104,CERETE,256,23285,22925
188,13016,1091,2825,CORDOBA,12752,27,CHIMA,27,3970,3916
189,13019,6345,6434,CORDOBA,35501,273,CHINU,174,13226,12779
190,13022,8386,17559,CORDOBA,84539,167,LORICA,266,26378,25945
191,13024,1340,2830,CORDOBA,12929,25,MOMIL,25,4220,4170
192,13025,7643,10631,CORDOBA,55017,155,MONTELIBANO,340,18769,18274
193,13001,47850,44207,CORDOBA,302825,427,MONTERIA,781,93265,92057
194,13027,1090,4230,CORDOBA,18119,51,MOÑITOS,65,5436,5320
195,13034,1778,1972,CORDOBA,13416,116,PURISIMA,38,3904,3750
196,13037,9762,16501,CORDOBA,78125,277,SAHAGUN,284,26824,26263
197,13058,5452,12579,CORDOBA,60877,323,TIERRALTA,311,18665,18031
198,13060,2467,5273,CORDOBA,21288,281,TUCHIN,197,8218,7740
199,13061,2089,4581,CORDOBA,25119,90,VALENCIA,91,6851,6670
200,68004,76,382,VAUPES,1721,0,CARURU,7,465,458
201,68001,872,2705,VAUPES,15576,20,MITU,30,3627,3577
202,68017,65,243,VAUPES,1377,36,TARAIRA,1,345,308
203,68022,37,278,VAUPES,1035,1,YAVARATE,0,316,315
204,56004,216,974,SAN ANDRES,4017,16,PROVIDENCIA,4,1210,1190
205,48002,1655,2333,LA GUAJIRA,16633,87,ALBANIA,64,4139,3988
206,48004,1806,4562,LA GUAJIRA,23913,13,BARRANCAS,73,6454,6368
207,48005,1309,3306,LA GUAJIRA,20549,49,DIBULLA,68,4732,4615
208,48008,892,1587,LA GUAJIRA,8243,12,DISTRACCION,31,2522,2479
209,48007,2463,6402,LA GUAJIRA,25836,40,FONSECA,101,9006,8865
210,48009,1304,2846,LA GUAJIRA,14034,31,HATONUEVO,59,4240,4150
211,48010,9563,10766,LA GUAJIRA,120312,257,MAICAO,187,20773,20329
212,48011,1418,1768,LA GUAJIRA,52567,30,MANAURE,44,3260,3186
213,48001,10092,17613,LA GUAJIRA,111639,287,RIOHACHA,298,28290,27705
214,48016,1658,1713,LA GUAJIRA,101417,19,URIBIA,44,3434,3371
215,48018,1141,2042,LA GUAJIRA,7997,10,URUMITA,32,3225,3183
216,48020,2425,3490,LA GUAJIRA,18149,50,VILLANUEVA,79,6044,5915
217,29004,1005,452,TOLIMA,3725,14,ALPUJARRA,46,1517,1457
218,29007,1415,1312,TOLIMA,8422,24,ALVARADO,36,2787,2727
219,29010,1126,1216,TOLIMA,6922,14,AMBALEMA,47,2403,2342
220,29013,1576,693,TOLIMA,7462,51,ANZOATEGUI,42,2362,2269
221,29019,3451,1658,TOLIMA,14957,75,ATACO,68,5252,5109
222,29022,4084,1823,TOLIMA,16190,54,CAJAMARCA,85,6046,5907
223,29028,953,922,TOLIMA,4940,29,CASABIANCA,22,1926,1875
224,29040,6694,5476,TOLIMA,38101,174,CHAPARRAL,172,12516,12170
225,29031,1157,1488,TOLIMA,7709,22,COELLO,34,2701,2645
226,29034,2081,3404,TOLIMA,17192,119,COYAIMA,81,5685,5485
227,29037,1516,1075,TOLIMA,7208,26,CUNDAY,31,2648,2591
228,29043,1563,1109,TOLIMA,6729,35,DOLORES,52,2759,2672
229,29046,14623,8388,TOLIMA,58148,111,ESPINAL,324,23446,23011
230,29049,995,1147,TOLIMA,5702,36,FALAN,52,2230,2142
231,29052,4194,2373,TOLIMA,17194,38,FLANDES,88,6693,6567
232,29055,5542,2741,TOLIMA,26101,100,FRESNO,183,8566,8283
233,29058,5783,3042,TOLIMA,25766,75,GUAMO,114,9014,8825
234,29061,1128,724,TOLIMA,5922,40,HERVEO,40,1932,1852
235,29064,4788,3549,TOLIMA,23027,62,HONDA,150,8549,8337
236,29001,108879,70780,TOLIMA,392554,656,IBAGUE,2184,182499,179659
237,29067,1335,1498,TOLIMA,8395,30,ICONONZO,49,2912,2833
238,29070,2812,2748,TOLIMA,15269,28,LERIDA,77,5665,5560
239,29073,5238,5158,TOLIMA,32895,145,LIBANO,226,10767,10396
240,29076,6277,4570,TOLIMA,28817,80,MARIQUITA,217,11144,10847
241,29079,7663,3102,TOLIMA,27553,47,MELGAR,130,10942,10765
242,29080,690,409,TOLIMA,3782,14,MURILLO,56,1169,1099
243,29082,2331,2970,TOLIMA,15411,41,NATAGAIMA,78,5420,5301
244,29085,4872,3247,TOLIMA,23729,159,ORTEGA,227,8505,8119
245,29087,1412,1003,TOLIMA,7468,24,PALOCABILDO,49,2488,2415
246,29088,959,974,TOLIMA,5387,10,PIEDRAS,25,1968,1933
247,29089,3081,2818,TOLIMA,19662,108,PLANADAS,198,6205,5899
248,29091,1799,1121,TOLIMA,7933,36,PRADO,43,2999,2920
249,29094,4139,4045,TOLIMA,20186,50,PURIFICACION,105,8339,8184
250,29097,2317,2209,TOLIMA,16033,133,RIOBLANCO,119,4778,4526
251,29100,728,768,TOLIMA,4175,22,RONCESVALLES,48,1566,1496
252,29103,4287,1776,TOLIMA,19506,57,ROVIRA,152,6272,6063
253,29105,2954,1463,TOLIMA,12416,22,SALDAÑA,53,4492,4417
254,29115,1095,700,TOLIMA,4386,3,SUAREZ,15,1813,1795
255,29121,2478,1929,TOLIMA,11721,29,VENADILLO,52,4488,4407
256,29124,1732,605,TOLIMA,7181,43,VILLAHERMOSA,39,2419,2337
257,29127,1070,671,TOLIMA,5204,10,VILLARRICA,42,1793,1741
258,52005,21513,7978,META,56070,130,ACACIAS,663,30284,29491
259,52008,1182,718,META,4569,13,CABUYARO,30,1943,1900
260,52015,1385,602,META,4902,15,CUBARRAL,30,2032,1987
261,52020,5099,2456,META,15494,31,CUMARAL,115,7701,7555
262,52035,12415,7007,META,48638,125,GRANADA,421,19968,19422
263,52040,4078,1316,META,10375,15,GUAMAL,62,5471,5394
264,52042,1636,1287,META,7903,39,LEJANIAS,92,3054,2923
265,52046,505,697,META,5394,12,MAPIRIPAN,33,1247,1202
266,52044,1126,1843,META,7585,30,MESETAS,46,3045,2969
267,52050,3557,2464,META,14935,23,RESTREPO,60,6104,6021
268,52074,140,2036,META,4724,24,URIBE,14,2214,2176
269,52001,100830,56633,META,343296,400,VILLAVICENCIO,1757,159620,157463
270,24008,2404,1265,RISARALDA,10487,47,APIA,84,3800,3669
271,24013,1074,891,RISARALDA,5565,23,BALBOA,44,2032,1965
272,24025,37995,28055,RISARALDA,154003,364,DOSQUEBRADAS,1044,67458,66050
273,24029,2443,1240,RISARALDA,10351,45,GUATICA,67,3795,3683
274,24054,3350,2067,RISARALDA,15561,88,MARSELLA,97,5602,5417
275,24062,1716,1926,RISARALDA,11096,58,MISTRATO,65,3765,3642
276,24001,87598,75063,RISARALDA,393135,836,PEREIRA,2278,165775,162661
277,24078,3734,4144,RISARALDA,19821,184,QUINCHIA,259,8321,7878
278,24094,2113,1473,RISARALDA,12258,70,SANTUARIO,119,3775,3586
279,27004,182,165,SANTANDER,1524,8,AGUADA,6,361,347
280,27007,508,656,SANTANDER,3290,21,ALBANIA,15,1200,1164
281,27010,1251,1328,SANTANDER,6477,50,ARATOCA,51,2680,2579
282,27013,4552,4413,SANTANDER,24199,64,BARBOSA,162,9191,8965
